FIELD_NAME,MIN_LENGTH,MAX_LENGTH,FIELD_TYPE,PERCENT_COMPLETED
RECORD_TYPE,1,1,numeric,100
DEC_NHS_NUMBER,,15,nhs_number,35
DEC_CONF_NHS_NUMBER,,15,nhs_number,99
DEC_1ST_FORENAME,,128,first_name,100
DEC_2ND_FORENAME,,128,first_name,60
DEC_3RD_FORENAME,,128,first_name,10
DEC_4TH_FORENAME,,150,first_name,5
DEC_SURNAME,,128,last_name,100
DEC_ALIASD1,,1152,text,5
DEC_MAIDEN_NAME,,128,char_var,70
DEC_DATE_OF_BIRTH,,10,char_var,70
DEC_SEX,,1,char_var,70
DEC_MARITAL_STATUS,,2,char_var,70
PAR_DATE_OF_BIRTH,,10,char_var,70
PAR_RELATIONSHIP_TO_DEC,,1,char_var,70
REG_NAMEHF,,256,char_var,70
DEC_AGEC,,3,char_var,70
DEC_AGECUNIT,,1,char_var,70
REG_DATE_OF_DEATH,,10,char_var,70
REG_DATE,,10,char_var,70
MED_DOCTOR_NAME,,128,char_var,70
COR_POST_MORTEM_TEXT,,990,char_var,70
REG_REGISTRAR_SIGNATURE,,128,char_var,70
REG_REGISTRAR_DESIGNATION,,128,char_var,70
INF_SIGNATURE,,256,char_var,70
INF_FORENAMES,,128,char_var,70
INF_SURNAME,,128,char_var,70
INF_QUAL_CODE,,2,char_var,70
INF_RELATIONSHIP_TO_DEC,,128,char_var,70
INFAD_FLAT_NUMBER,,128,char_var,70
INFAD_BUILDING_OR_HOUSE,,128,char_var,70
INFAD_BUILDING_NAM,,128,char_var,70
INFAD_LINE_1,,128,char_var,70
INFAD_LINE_2,,128,char_var,70
INFAD_LINE_3,,128,char_var,70
INFAD_LINE_4,,128,char_var,70
INFAD_TOWN,,64,char_var,70
INFAD_COUNTY,,64,char_var,70
INFAD_POSTCODE,,28,postcode,70
REG_DISTRICT_CODE,,3,char_var,70
REG_SUB_DISTRICT_CODE,,2,char_var,70
REG_NUMBER,,5,char_var,70
REG_ENTRY_NUMBER,,3,char_var,70
REG_TYPE,,1,char_var,70
COR_DESIGNATION,,128,char_var,70
COR_NAME,,128,char_var,70
COR_AREA_NAME,,128,char_var,70
COR_INQ_DATES,,128,char_var,70
DEC_OCCUPATION,,128,char_var,70
DEC_OCC_TYPE,,1,char_var,70
DEC_OCCUPATION_FREE,,550,char_var,70
REN_OCCUPATION,,128,char_var,70
MOT_OCCUPATION,,128,char_var,70
OUT_SECCATDM,,5,char_var,70
OUT_SECCATHF,,5,char_var,70
SOC2KDM,,4,char_var,70
SOC2KHF,,4,char_var,70
DEC_RETIRED_IND,,1,char_var,70
PAR_RETIRED_IND,,1,char_var,70
POE_CONCAT,,1000,char_var,70
DECAD_FLAT_NUMBER,,128,char_var,70
DECAD_BUILDING_OR_HOUSE,,10,char_var,70
DECAD_BUILDING_NAME,,128,char_var,70
DECAD_LINE_1,,128,char_var,70
DECAD_LINE_2,,128,char_var,70
DECAD_LINE_3,,128,char_var,70
DECAD_LINE_4,,128,char_var,70
DECAD_TOWN,,64,char_var,70
DECAD_COUNTY,,64,char_var,70
DECAD_POSTCODE,,28,char_var,70
DECAD_STAT_POSTCODE,,8,char_var,70
DEC_BIRTHPLACE,,128,char_var,70
DEC_BIRTH_COUNTRY_CODE,,4,char_var,70
POE_CODE,,5,char_var,70
POE_STAT_POSTCODE,,8,char_var,70
POE_NHS_ESTABLISHMENT,,1,char_var,70
POE_ESTABLISHMENT_TYPE,,2,char_var,70
MED_C_OF_D_LINE_1,,100,char_var,70
MED_C_OF_D_LINE_2,,100,char_var,70
MED_C_OF_D_LINE_3,,100,char_var,70
MED_C_OF_D_LINE_4,,100,char_var,70
MED_C_OF_D_LINE_5,,100,char_var,70
S_UNDERLYING_COD_ICD10,,5,char_fixed,70
S_COD_CODE_1,,5,char_fixed,100
S_COD_CODE_2,,5,char_fixed,70
S_COD_CODE_3,,5,char_fixed,30
S_COD_CODE_4,,5,char_fixed,10
S_COD_CODE_5,,5,char_fixed,2
S_COD_CODE_6,,5,char_fixed,1
S_COD_CODE_7,,5,char_fixed,0
S_COD_CODE_8,,5,char_fixed,0
S_COD_CODE_9,,5,char_fixed,0
S_COD_CODE_10,,5,char_fixed,0
S_COD_CODE_11,,5,char_fixed,0
S_COD_CODE_12,,5,char_fixed,0
S_COD_CODE_13,,5,char_fixed,0
S_COD_CODE_14,,5,char_fixed,0
S_COD_CODE_15,,5,char_fixed,0
S_INJURY_EXTERNAL,,5,char_fixed,70
S_COD_LINE_1,,2,char_fixed,100
S_COD_LINE_2,,2,char_fixed,70
S_COD_LINE_3,,2,char_fixed,30
S_COD_LINE_4,,2,char_fixed,10
S_COD_LINE_5,,2,char_fixed,2
S_COD_LINE_6,,2,char_fixed,1
S_COD_LINE_7,,2,char_fixed,0
S_COD_LINE_8,,2,char_fixed,0
S_COD_LINE_9,,2,char_fixed,0
S_COD_LINE_10,,2,char_fixed,0
S_COD_LINE_11,,2,char_fixed,0
S_COD_LINE_12,,2,char_fixed,0
S_COD_LINE_13,,2,char_fixed,0
S_COD_LINE_14,,2,char_fixed,0
S_COD_LINE_15,,2,char_fixed,0
S_UNDERLYING_COD_ICD9,,5,char_fixed,70
MED_C_OF_D_FREE_FORMAT,,500,char_var,4
LEDR_ID,,13,char_fixed,100
RON_ID,,9,char_fixed,0
NEO_NATE_FLAG,0,1,numeric,100
CANCELLED_FLAG,,1,char_fixed,100
