field_name,data_type,length,field_type
DEC_NHS_NUMBER,0,15,nhs_number
DEC_CONF_NHS_NUMBER,0,15,nhs_number
DEC_1ST_FORENAME,0,128,first_name
DEC_2ND_FORENAME,0,128,first_name
DEC_3RD_FORENAME,0,128,first_name
DEC_4TH_FORENAME,0,150,first_name
DEC_EXTRA_FORENAME,0,150,first_name
DEC_SURNAME,0,128,last_name
DEC_ALIASD1,0,1152,text
DEC_ALIASD2,0,40,character
DEC_MAIDEN_NAME,0,128,character
DEC_DATE_OF_BIRTH,0,10,character
DEC_SEX,0,1,character
DEC_MARITAL_STATUS,0,2,character
PAR_DATE_OF_BIRTH,0,10,character
PAR_RELATIONSHIP_TO_DEC,0,1,character
REG_NAMEHF,0,256,character
DEC_AGEC,0,3,character
DEC_AGECUNIT,0,1,character
REG_DATE_OF_DEATH,0,10,character
REG_DATE,0,10,character
MED_DOCTOR_NAME,0,128,character
COR_POST_MORTEM_TEXT,0,990,character
COR_POST_MORTEM_TEXT2,0,75,character
COR_POST_MORTEM_TEXT3,0,75,character
REG_REGISTRAR_SIGNATURE,0,128,character
REG_REGISTRAR_DESIGNATION,0,128,character
INF_SIGNATURE,0,256,character
INF_FORENAMES,0,128,character
INF_SURNAME,0,128,character
INF_QUAL_CODE,0,2,character
INF_RELATIONSHIP_TO_DEC,0,128,character
INFAD_FLAT_NUMBER,0,128,character
INFAD_BUILDING_OR_HOUSE,0,128,character
INFAD_BUILDING_NAM,0,128,character
INFAD_LINE_1,0,128,character
INFAD_LINE_2,0,128,character
INFAD_LINE_3,0,128,character
INFAD_LINE_4,0,128,character
INFAD_TOWN,0,64,character
INFAD_COUNTY,0,64,character
INFAD_POSTCODE,0,28,postcode
REG_DISTRICT_CODE,0,3,character
REG_SUB_DISTRICT_CODE,0,2,character
REG_NUMBER,0,5,character
REG_ENTRY_NUMBER,0,3,character
REG_TYPE,0,1,character
COR_DESIGNATION,0,128,character
COR_NAME,0,128,character
COR_AREA_NAME,0,128,character
COR_INQ_DATES,0,128,character
DEC_OCCUPATION,0,128,character
DEC_OCC_TYPE,0,1,character
DEC_OCCUPATION_FREE,0,550,character
DEC_OCCUPATION_FREE2,0,75,character
DEC_OCCUPATION_FREE3,0,75,character
DEC_OCCUPATION_FREE4,0,75,character
REN_OCCUPATION,0,128,character
MOT_OCCUPATION,0,128,character
OUT_SECCATDM,0,5,character
OUT_SECCATHF,0,5,character
SOC2KDM,0,4,character
SOC2KHF,0,4,character
DEC_RETIRED_IND,0,1,character
PAR_RETIRED_IND,0,1,character
POE_CONCAT,0,1000,character
DECAD_FLAT_NUMBER,0,128,character
DECAD_BUILDING_OR_HOUSE,0,10,character
DECAD_BUILDING_NAME,0,128,character
DECAD_LINE_1,0,128,character
DECAD_LINE_2,0,128,character
DECAD_LINE_3,0,128,character
DECAD_LINE_4,0,128,character
DECAD_TOWN,0,64,character
DECAD_COUNTY,0,64,character
DECAD_POSTCODE,0,28,character
DECAD_STAT_POSTCODE,0,8,character
HROR,0,3,character
HAUTR,0,3,character
DEC_BIRTHPLACE,0,128,character
DEC_BIRTH_COUNTRY_CODE,0,4,character
GORR,0,1,character
UTLA9R,0,4,character
CTYR,0,2,character
CTYDR,0,2,character
CCGR,0,3,character
LSOAR,0,9,character
WARDR,0,2,character
POE_CODE,0,5,character
POE_STAT_POSTCODE,0,8,character
CCGPOD,0,3,character
UTLA9POD,0,4,character
HAUTPOD,0,3,character
POE_NHS_ESTABLISHMENT,0,1,character
POE_ESTABLISHMENT_TYPE,0,2,character
PCDIND,0,1,character
MED_C_OF_D_LINE_1,0,100,character
MED_C_OF_D_LINE_2,0,100,character
MED_C_OF_D_LINE_3,0,100,character
MED_C_OF_D_LINE_4,0,100,character
MED_C_OF_D_LINE_5,0,100,character
S_UNDERLYING_COD,0,5,character
S_COD_CODE_1,0,5,character
S_COD_CODE_2,0,5,character
S_COD_CODE_3,0,5,character
S_COD_CODE_4,0,5,character
S_COD_CODE_5,0,5,character
S_COD_CODE_6,0,5,character
S_COD_CODE_7,0,5,character
S_COD_CODE_8,0,5,character
S_COD_CODE_9,0,5,character
S_COD_CODE_10,0,5,character
S_COD_CODE_11,0,5,character
S_COD_CODE_12,0,5,character
S_COD_CODE_13,0,5,character
S_COD_CODE_14,0,5,character
S_COD_CODE_15,0,5,character
S_INJURY_EXTERNAL,0,5,character
S_COD_LINE_1,0,2,character
S_COD_LINE_2,0,2,character
S_COD_LINE_3,0,2,character
S_COD_LINE_4,0,2,character
S_COD_LINE_5,0,2,character
S_COD_LINE_6,0,2,character
S_COD_LINE_7,0,2,character
S_COD_LINE_8,0,2,character
S_COD_LINE_9,0,2,character
S_COD_LINE_10,0,2,character
S_COD_LINE_11,0,2,character
S_COD_LINE_12,0,2,character
S_COD_LINE_13,0,2,character
S_COD_LINE_14,0,2,character
S_COD_LINE_15,0,2,character
NEO_NATE_FLAG,0,1,character
S_UNDERLYING_COD_ICD9,0,5,character
ICD9_ORIG_MENTION_1,0,5,character
ICD9_ORIG_MENTION_2,0,5,character
ICD9_ORIG_MENTION_3,0,5,character
ICD9_ORIG_MENTION_4,0,5,character
ICD9_ORIG_MENTION_5,0,5,character
ICD9_ORIG_MENTION_6,0,5,character
ICD9_ORIG_MENTION_7,0,5,character
ICD9_ORIG_MENTION_8,0,5,character
ICD9_ORIG_MENTION_9,0,5,character
ICD9_ORIG_MENTION_10,0,5,character
ICD9_ORIG_MENTION_11,0,5,character
ICD9_ORIG_MENTION_12,0,5,character
ICD9_ORIG_MENTION_13,0,5,character
ICD9_ORIG_MENTION_14,0,5,character
ICD9_ORIG_MENTION_15,0,5,character
MED_C_OF_D_FREE_FORMAT,0,5000,character
LEDR_ID,0,13,character
RON_ID,0,9,character
NEO_NATE_FLAG,0,1,numeric
